péroné,fibula,Os long et grêle qui longe la face externe du tibia .
péroné,fibula,Os de la jambe
péroraison,peroration,"Conclusion d ’ un discours d ’ apparat , d ’ une harangue , d ’ un plaidoyer , d ’ un sermon ."
péroraison,peroration,Conclusion d ’ une symphonie .
pétase,petasos,"Chapeau rond à larges bords , qui était en usage chez les anciens ."
pétrir,knead,"Détremper de la farine avec de l ’ eau , la malaxer et en faire de la pâte ."
pétrir,knead,"Presser et malaxer , pour leur faire prendre une forme , en parlant de certaines choses grasses et ."
pétrir,knead,Presser fortement avec les mains pour donner une autre forme ou pour assouplir .
pétrir,knead,"Façonner d une matière , d un matériau ,"
pétroglyphe,petroglyph,Trace de dessin ou d ’ écriture sur de la pierre .
pézize,peziza,"Champignon à larges apothécies en coupe ou en oreille , sans pied ou rarement avec un pied court ."
quincaillier,ironmonger,"Celui , celle qui tient un commerce de quincaillerie ."
quincaillier,ironmonger,Qui concerne la quincaillerie .
rabaisser,belittle,"Mettre plus bas , placer une chose du lieu où elle était ."
rabaisser,belittle,Réduire à une valeur moindre .
rabaisser,belittle,"<concept> le caquet de ’ un , à ’ un : confondre ’ un , le faire taire par autorité ou par raison ."
rabaisser,belittle,"Déprécier , estimer de la valeur ."
rabattement,drawdown,Hydraulique
rabatteur,tout,Celui qui se charge d ’ amener des clients à une entreprise
rabique,rabid,Qui appartient à la rage .
raboter,plane,"Aplanir , rendre uni avec le rabot"
racleur,pig,Mauvais joueur de violon .
racleur,pig,Celui qui fait du raclage .
radiobiologie,radiobiology,"Étude des effets biologiques des rayonnements , notamment des rayonnements ionisants , sur les êtres vivants , des moyens de s ’ en préserver , des traitements à suivre en cas d ’ irradiation et de leur emploi pour procéder à des investigations dans le corps humain ."
radiotélévision,radiotelevision,"Synonyme vieilli de télévision , du temps où la télédiffusion par ondes radio était une nouveauté ."
radiotélévision,radiotelevision,Entreprise médiatique qui diffuse des programmes radiophoniques et télévisuels .
radiotélévision,radiotelevision,entreprise qui diffuse des programmes radiophoniques et télévisuels
radiotélévision,radiotelevision,télédiffusion par ondes radio
raisonner,reason,"Se servir de sa raison pour connaître , pour juger ."
raisonner,reason,"Faire un syllogisme , une suite d ’ arguments qui s ’ enchaînent ."
raisonner,reason,"Chercher et alléguer des raisons pour éclaircir une affaire , une question , pour appuyer une opinion ,"
raisonner,reason,"Répliquer , alléguer des excuses , au lieu de recevoir docilement des ordres ou des réprimandes ."
rajeunir,rejuvenate,"Rendre jeune , rendre la jeunesse ."
rajeunir,rejuvenate,Rendre l ’ air de la jeunesse .
rajeunir,rejuvenate,Donner un caractère plus récent .
rajeunir,rejuvenate,"Attribuer à ’ un moins d ’ années qu ’ il n ’ en a , le dire ou le supposer plus jeune qu ’ il n ’ est ."
ralentissement,slowdown,"Diminution de vitesse , de mouvement , d ’ activité ."
ralentissement,slowdown,circulation routière File de véhicules qui circulent à faible vitesse .
rallonger,lengthen,Rendre une chose plus longue .
rallonger,lengthen,Simplement allonger .
randonner,hike,Faire de la randonnée .
raout,rout,"Réunion , fête où l ’ on invite des personnes du monde , cocktail mondain ."
raout,rout,Réunion mondaine
rassembleur,gatherer,personne qui rassemble
rassurer,reassure,"Redonner l ’ assurance , rendre la confiance , la tranquillité ."
rassurer,reassure,"Affermir , rendre stable ."
rationnellement,rationally,D ’ une manière rationnelle .
rebondi,plump,"Arrondi , en parlant de certaines parties charnues que la graisse fait paraître plus volumineuses ."
rebondi,plump,Bien en chair .
recenser,census,Compter ou évaluer les éléments d ’ une grandeur ; dénombrer ; quantifier .
recenser,census,Passer en revue ; faire l ’ inventaire ou le bilan ; évaluer .
rechute,relapse,"Seconde chute , nouvelle chute ."
rechute,relapse,Retour d ’ une maladie dont la guérison était récente et incomplète .
rechute,relapse,"Retour au péché ou , en général , à la même faute ."
recouvrer,recover,"Retrouver , rentrer en possession ; acquérir de nouveau une chose qu ’ on avait perdue ."
recouvrer,recover,"Recevoir , percevoir ou récupérer le paiement d ’ une somme due ."
recouvrir,cover,Couvrir de nouveau .
recouvrir,cover,Couvrir entièrement .
recouvrir,cover,"Masquer , cacher avec soin sous des prétextes spécieux , sous des apparences louables , quelque chose de vicieux ."
recouvrir,cover,Couvrir de nouveau . ( Sens général )
rectangulaire,rectangular,Qualifie les figures où il y a un angle droit .
rectangulaire,rectangular,Qui a la forme d ’ un parallélogramme rectangle .
recès,recess,"Lieu où l ’ on se retire , retraite où l ’ on s ’ isole ."
recès,recess,"Acte , document , qui servait aux diètes de l empire germanique à consigner leurs délibérations ."
recès,recess,des conventions passées entre deux puissances .
recès,recess,acte de la diète de l empire
redondant,redundant,Qui a de la redondance .
redondant,redundant,"particulier Qualifie un style , un discours où il y a beaucoup de redondances ."
redoubler,increase,"Augmenter , doubler ."
redoubler,increase,"Porter au double , doubler ."
redoubler,increase,"Réitérer , augmenter ."
redoubler,increase,Remettre une doublure .
regardeur,beholder,celui qui regarde
relationnel,relational,Relatif aux relations .
relationnel,relational,"Se dit d ’ une base de données constituée de tables , ou relation , dans lesquelles sont placées les données ainsi que les éventuels liens avec les autres tables ; se dit également du modèle de données utilisé pour réaliser une telle base ."
relieur,bookbinder,"Celui , celle dont le métier est de relier les livres ."
reluire,glisten,"Briller , luire en réfléchissant la lumière ."
reluire,glisten,Paraître avec éclat .
relâcher,relax,Faire qu ’ une chose soit moins tendue .
relâcher,relax,absolument Purger légèrement .
relâcher,relax,"Laisser aller , en parlant d ’ un prisonnier , de ’ un qu ’ on retenait malgré lui et à qui on rend la liberté ."
relâcher,relax,"Céder , abandonner quelque chose de ses droits , de ses prétentions , de ses intérêts ."
reléguer,relegate,Envoyer en exil dans un lieu déterminé .
reléguer,relegate,Interner dans une colonie .
reléguer,relegate,"Envoyer demeurer dans un pays lointain , ou dans un lieu retiré ."
reléguer,relegate,"Éloigner , mettre à l ’ écart , en parlant de certaines choses ."
remaniement,reshuffle,Réorganisation
remaniement,reshuffle,{ { littérature
remblai,embankment,Action de remblayer ou résultat de cette action .
remboursable,redeemable,"Qui doit être remboursé , qui est susceptible d ’ être remboursé ."
remuer,stir,"Mouvoir , déplacer ."
remuer,stir,particulier Transporter de la terre d ’ un lieu à un autre .
remuer,stir,"Poursuivre ou réveiller une affaire négligée , oubliée ou interrompue ."
remuer,stir,autrefois Nettoyer et changer de langes d un enfant .
renfermement,confinement,action de renfermer
renouer,retie,Nouer une chose dénouée .
renouer,retie,"Renouveler , reprendre , en parlant de relations interrompues ."
renouer,retie,Reprendre en parlant de ce qui avait été interrompu .
renouer,retie,Nouer une chose dénouée
renseigner,inform,Donner des renseignements ( Sens général )
reparaître,reappear,Paraître de nouveau .
reproduire,reproduce,Produire de nouveau .
reproduire,reproduce,"Commencer à fréquenter de nouveau la société , en parlant d une personne qui s en était retirée ."
reproduire,reproduce,Présenter de nouveau ; montrer de nouveau ; répéter ; rendre exactement .
reproduire,reproduce,"Publier l article d un journal ou d une revue dans un autre journal , dans un autre recueil ."
ressembler,resemble,"Avoir du rapport , de la conformité avec ’ un , avec quelque chose ."
ressembler,resemble,"par ext Être conforme au caractère , aux manières de penser , d ’ agir , à tout ce que l ’ on connaît d ’ une personne ."
ressembler,resemble,Avoir un air de famille ou les mêmes inclinations .
ressembler,resemble,"Être commun ou , ironiquement , original ."
ressortir,leave,Sortir de nouveau
ressortir,leave,"Résulter , se dégager , apparaître comme conséquence"
ressortir,leave,Sortir après être entré
restreindre,restrain,Ramener à des limites plus étroites .
restreindre,restrain,"Réduire sa dépense , son train de vie ."
revivaliste,revivalist,Celui qui prend part à un revival .
revêtement,covering,Action de revêtir .
revêtement,covering,"Sorte de placage de plâtre , de mortier , de bois , de marbre , , qu ’ on fait à une construction pour l ’ orner ou la consolider ."
revêtement,covering,"Ouvrage de pierre , de brique , ou de quelque autre matière , servant à retenir les terres d ’ un fossé , d ’ un bastion , d ’ une terrasse ."
revêtement,covering,"Ce dont on a recouvert une voie et qui la rend carrossable , partie extérieure superficielle d ’ un chemin , d ’ une route , d ’ une circulation ."
rhétoricien,rhetorician,écolier qui fait sa rhétorique .
rhétoricien,rhetorician,"Élève de classe terminale de l ’ enseignement secondaire en Belgique , classe appelée rhétorique ."
ribonucléique,ribonucleic,"Qualifie l ’ acide nucléique dont le sucre est le ribose , et qui est un constituant du cytoplasme et du noyau des cellules ."
ronfler,snore,Faire un certain bruit de la gorge et des narines en respirant pendant le sommeil .
ronfler,snore,"Faire un certain bruit des narines , en parlant du cheval , quand il a peur , ou est en colère ,"
ronfler,snore,"par ext Faire un bruit grave et prolongé , en parlant de certaines choses comme le tonnerre , le canon , l ’ orgue ,"
ronfler,snore,faire un certain bruit de la gorge et des narines en respirant pendant le sommeil
russule,russula,"Genre de champignons de la famille des , répandus dans les bois et les forêts , trapus , à lames adhérentes , au pied sans anneau et cassant , mais ne produisant pas de liquide à la cassure comme les lactaires ."
râler,rattle,Faire en respirant un bruit rauque causé par l ’ embarras des bronches . Se dit particulièrement des agonisants .
râler,rattle,"Manifester oralement sa mauvaise humeur , sa colère ."
râler,rattle,"Pousser son cri , en parlant du daim , du faon , du tigre ."
râler,rattle,"Dire , exprimer , faire entendre , dans un râle , d ’ une voix comparable à des râles ."
réalgar,realgar,composé de sulfure d arsenic de formule .
réalisable,realisable,"Qui est susceptible de se réaliser , d ’ être réalisé ."
réalisable,realisable,particulier Que l ’ on peut convertir en liquidités .
récessif,recessive,"Qui diminue , qui va en arrière ."
récessif,recessive,Qualifie un gène qui ne s ’ exprime pas .
récolter,harvest,Faire une récolte .
récolter,harvest,Gagner par son labeur .
récolter,harvest,Recevoir en retour .
récompenser,reward,"Donner une récompense , faire du bien à ’ un en reconnaissance de quelque service ..."
rédiger,compose,"Mettre par écrit , en bon ordre , dans un style clair et convenable , des lois , des règlements , des décisions , des résolutions prises dans une assemblée , ou les matériaux d ’ un ouvrage , ou les idées fournies en commun pour quelque écrit que ce soit ,"
réemploi,reuse,Utilisation renouvelée de quelque chose .
réfrigérateur,refrigerator,Armoire permettant de conserver les aliments à une température proche de 0 °
référer,refer,Rapporter une chose à une autre .
référer,refer,"Attribuer , reporter ."
référer,refer,S ’ en rapporter au serment de ’ un qui voulait s ’ en rapporter au nôtre .
référer,refer,"Avoir pour référent , pour signifié , quelque chose ."
régaler,treat,Maltraiter
régaler,treat,"Donner un régal , offrir un plaisir de table"
régaler,treat,"Choses qu ’ on fait pour réjouir ses amis , pour les divertir"
régressif,regressive,Qui va en arrière .
régressif,regressive,Taux <concept> : Taux qui va en diminuant quand la somme à laquelle il s ’ applique va croissant .
réhabiliter,rehabilitate,"Chancellerie et de Jurisprudence Rétablir dans son premier état , dans ses droits , dans ses prérogatives , , celui qui en a été déchu ."
réhabiliter,rehabilitate,Faire recouvrer l ’ estime publique de ’ un ou de quelque chose .
réhabiliter,rehabilitate,Jurisprudence ( 1 )
réhabiliter,rehabilitate,Figuré ( 2 )
réintroduction,reintroduction,En biologie
réintroduction,reintroduction,Nouvelle introduction
réitérer,reiterate,"Faire de nouveau , recommencer , renouveler , répéter ."
réjouir,rejoice,Donner de la joie .
réjouir,rejoice,Il a réjoui la compagnie à mes dépens
réjouir,rejoice,"Éprouver de la joie , du plaisir ."
réjouir,rejoice,"Se féliciter , éprouver une vive satisfaction de quelque chose ."
rémanence,remanence,Persistance de l ’ aimantation dans un barreau d ’ acier qui a été soumis à l ’ action d ’ un champ magnétique .
rémanence,remanence,Temps mis par un point de l ’ écran pour passer de l ’ état allumé à l ’ état totalement éteint . Une rémanence trop importante est gênante pour l ’ œil . On parle aussi de temps de réponse .
rémanence,remanence,"Propriété d ’ une sensation , notamment visuelle , de persister après la disparition du stimulus ."
répartir,distribute,"Partager , distribuer , attribuer à chacun sa part ."
répliquer,reply,"Donner la réplique , répondre sur ce qui a été répondu par celui à qui l ’ on parle ."
répliquer,reply,"Répondre avec humeur , parler quand on devrait obéir et se taire ."
répliquer,reply,"Dupliquer , copier , refaire ."
réprouvé,reprobate,Rejeté par les autres .
réprouvé,reprobate,un de ceux que Dieu rejette .
réprouvé,reprobate,un de ceux que la société rejette et réprouve .
résilient,resilient,"Qui présente une certaine résilience , une résistance au choc ."
résilient,resilient,Qualifie une personnalité qui résiste bien aux épreuves de la vie .
résine,resin,"Matière inflammable , grasse et onctueuse , qui découle de certains arbres , tels que le pin , le sapin , le mélèze , le lentisque , le térébinthe ,"
résine,resin,particulier Celle des pins et des sapins .
résine,resin,Matière inflammable qui découle de certains arbres
résineux,softwood,Qui produit la résine .
résineux,softwood,Qui contient de la résine ; qui est de la nature de la résine .
résineux,softwood,Qui a rapport à la résine .
résineux,softwood,Relatif aux forêts plantées d arbres gymnospermes à résine .
résulter,follow,"S ’ . — note Il s ’ emploie pour marquer les inductions , les conséquences qu ’ on tire d ’ un discours , d ’ un raisonnement , d ’ un examen , d ’ une recherche ,"
résulter,follow,Faire suite à certains événements ; provoquer les effets de certaines causes .
rétraction,retraction,"Action de se rétracter , en parlant d une chose ."
rétraction,retraction,"Raccourcissement , contraction d ’ une partie du corps ."
rétraction,retraction,"Retrait , repli sur ."
réunifier,reunify,"Unifier ce qui avait été auparavant uni , puis séparé ."
réversion,reversion,"Retour , droit de retour , en vertu duquel les biens dont une personne a disposé en faveur d ’ une autre lui reviennent quand meurt sans enfants ."
réversion,reversion,"Retour d ’ individus modifiés par le croisement , au type primitif , après un certain nombre de générations ."
révolutionner,revolutionize,Agiter un pays à l ’ aide de principes révolutionnaires .
rêne,rein,Courroie fixée au mors d ’ un cheval et dont le cavalier se sert pour diriger sa monture .
rêne,rein,au pluriel Symbolise le pouvoir que l ’ on exerce sur quelque chose .
rêne,rein,Courroie fixée au mors d ’ un cheval
rôtissoire,rotisserie,Ustensile de cuisine
rôtissoire,rotisserie,Outil de réparation automobile
saccager,sack,"Mettre à sac , mettre au pillage , dévaster ."
saccager,sack,Faire du désordre .
saccager,sack,Faire du désordre
sacoche,purse,Sorte de grosse bourse de cuir ordinairement retenue par une courroie et qui se porte au côté ou dans le dos .
sacoche,purse,"Sac de toile forte ou de peau , dans lequel les des maisons de banque et de commerce mettaient les espèces qu ’ ils étaient chargés de donner ou de recevoir en paiement ."
sacoche,purse,Sorte de sac à main pour homme dépourvu de courroie mais parfois équipé d ’ une dragonne .
sacoche,purse,Sac à main .
sacrificiel,sacrificial,En rapport avec le sacrifice .
saisonnalité,seasonality,"Caractère périodique , saisonnier d ’ un phénomène , d ’ une affluence ."
salace,salacious,"Qui a de la , un penchant prononcé pour l ’ érotisme , l ’ obscénité , les rapports sexuels ."
salace,salacious,"Qui a de la , un caractère érotique , lubrique , obscène de propos ou de comportements ."
saliver,salivate,Sécréter de la salive .
salsifis,salsify,"Plante à fleurs composées , dont la racine , qui porte le même nom , est comestible ."
salsifis,salsify,Légume issu de racine de scorsonère .
salsifis,salsify,Catogan de la marionnette lyonnaise guignol .
salsifis,salsify,Doigt de pied
saponaire,soapwort,"Genre de plantes , qui poussent dans les endroits frais , au bord des champs et des bois ."
sarcasme,sarcasm,"Raillerie amère et cruelle ; ironie méchante , mordante , acerbe ."
sarcasme,sarcasm,"Raillerie , ironie"
saugrenu,bizarre,"Qui est absurde , ridicule , d ’ une étrangeté choquante , en parlant des choses ."
savonnier,en,Relatif au savon .
savonnier,en,Koelreuteria paniculata
saïga,saiga,"Espèce d antilope eurasienne qu on trouve encore dans les steppes arides d Asie centrale , au nez très arqué descendant sur la bouche et donnant l aspect d une trompe ."
scalaire,scalar,"Poisson au corps aplati , aux grandes nageoires , fréquent dans les aquariums ."
scalaire,scalar,Mollusque carnivore dont la jolie coquille présente des côtes .
scalaire,scalar,"Élément par lequel on peut multiplier les vecteurs d ’ un espace vectoriel . . Il correspond généralement , en pratique , à un nombre ."
scalaire,scalar,Nombre réel dont la valeur est identique quelle que soit la base dans laquelle il est défini .
scier,saw,"Couper , fendre avec une scie ."
scier,saw,Couper avec la faucille en parlant des blés .
scier,saw,Excéder d ’ ennui .
scier,saw,"Ramer à rebours pour rétrograder , revenir sur son sillage ."
scintillement,sparkle,"Fluctuation de la vitesse relative entre un support d enregistrement et la tête d enregistrement ou de lecture , dont la fréquence est supérieure à 10 hertz ."
scintillement,sparkle,Fluctuation de la vitesse relative
scintillement,sparkle,Action de scintiller
scirpe,bulrush,"Plante monocotylédone , affectionnant les lieux humides , de la famille des cypéracées ."
secondairement,additionally,D ’ une manière secondaire .
sectarisme,bigotry,Caractère de celui ou de celle qui est sectaire .
sensualisme,sensualism,Système dans lequel on fait dériver des sensations tous les faits psychiques .
sensé,sane,"Qui a du bon sens , qui a de la raison , du jugement ."
sensé,sane,"Qui est conforme au bon sens , à la raison ."
shampoing,shampoo,Lavage des cheveux et du cuir chevelu au moyen d ’ un produit approprié .
shampoing,shampoo,Produit liquide ou solide qui sert au lavage des cheveux .
shampoing,shampoo,Synonyme de fellation .
shampoing,shampoo,Produit liquide
sidérite,siderite,", météorite métallique composée de fer et de nickel ."
sidérite,siderite,", composé de carbonate de fer et se trouvant dans la nature ."
sidérite,siderite,selon la description du minéralogiste Bergmann .
sidérite,siderite,Lazulite selon la description du minéralogiste Moll .
signataire,signatory,Qualifie celui qui signe ou qui a signé .
significatif,significant,"Qui exprime bien , qui a une signification claire et précise ."
significatif,significant,part Relatif à la signification .
significatif,significant,"Qui exprime nettement la pensée , l ’ intention de celui qui le fait ."
significatif,significant,", remarquable ."
similarité,similarity,"Qualité de choses similaires , de choses semblables ."
similarité,similarity,Qualité de ce qui est similaire
simultanément,simultaneously,En même temps ; au même instant .
sinistrement,ominously,D ’ une manière sinistre .
sinistrement,ominously,D une manière pessimiste .
sismographe,seismograph,"Appareil enregistreur qui marque l ’ heure , la durée et l ’ amplitude des mouvements d ’ un point de l ’ écorce terrestre pendant un tremblement de terre ."
sodomiser,sodomize,Pratiquer la sodomie .
sodomiser,sodomize,"sans idée de sexe Abuser de , exploiter ."
soixantaine,sixties,Ensemble de soixante ou environ .
soixantaine,sixties,absolument Âge de soixante ans ou environ .
soixantaine,sixties,dans la <concept> Âges de 60 à 69 ans .
soixantaine,sixties,Âges ans
solennellement,solemnly,D ’ une manière solennelle .
solidarisme,solidarism,"Lien qui oblige tous les êtres humains les uns envers les autres , nous faisant un devoir d assister ceux de nos semblables qui sont dans l infortune ."
solidarisme,solidarism,part Doctrine développée par Léon Bourgeois sur cette base philosophique .
solénoïde,solenoid,Bobinage ou enroulement d ’ un fil conducteur éventuellement autour d ’ un noyau en matériau ferromagnétique .
sommable,summable,"Que l on peut sommer , additionner ."
sophiste,sophist,"Philosophe , rhéteur professionnel . Depuis Platon , nom donné aux professeurs et rhéteurs rémunérés , par opposition aux philosophes ."
sophiste,sophist,Celui qui use d ’ arguments captieux .
sororité,sorority,Organisation d ’ étudiantes américaines .
sororité,sorority,Pendant féminin du sentiment de fraternité .
sororité,sorority,Pendant féminin du sentiment de fraternité
sororité,sorority,Organisation d ’ étudiantes américaines
soubassement,underpinning,Partie inférieure d ’ une construction sur laquelle porte l ’ édifice et qui porte sur les fondations .
soubassement,underpinning,Socle rocheux sur lequel reposent les couches de terrain .
soubassement,underpinning,en géologie
soubassement,underpinning,partie inférieure d ’ une construction sur laquelle porte l ’ édifice
soudage,welding,"Action ou résultat d ’ une soudure ( 1,2 ) :"
soupçonner,suspect,"Avoir , concernant ’ un ou quelque chose , une opinion , une présomption désavantageuse , mais incertaine et mêlée de doute ."
soupçonner,suspect,Former une simple conjecture .
soupçonner,suspect,"Avoir une idée , une prescience , de ce qui adviendra ."
soupçonner,suspect,avoir une présomption incertaine ; former une conjecture
sphénoïde,sphenoid,Qui a la forme d un coin .
sporadique,sporadic,Qui se produit à intervalles irréguliers .
sporadique,sporadic,Qui se répartit de manière aléatoire .
spéléologue,speleologist,"Scientifique qui étudie les cavités naturelles du sol , grottes , cavernes , sources ,"
spéléologue,speleologist,"Plus généralement , tout adepte d une pratique spéléologique , sportive , scientifique ou contemplative"
statocyste,statocyst,Organe de l équilibre chez les vertébrés .
statutaire,statutory,Qui est prescrit par les statuts ; qui est conforme aux statuts .
statutaire,statutory,"Qui nécessite d ’ avoir réussi à un concours , et apporte le statut de fonctionnaire , en parlant d ’ un recrutement ."
statutaire,statutory,Qui montre le statut du propriétaire .
stochocratie,demarchy,Forme de gouvernement où les représentants du peuple sont tirés au sort .
strigile,strigil,"Instrument en forme de racloir , en bronze , dont les anciens se servaient dans le bain pour racler la sueur de la peau et en détacher la crasse ."
strigile,strigil,Sorte de cannelures sinuées qui servent d ’ ornement à un certain nombre de sarcophages
strigile,strigil,Outil antique
structuraliste,structuralist,Relatif au structuralisme .
stéréophonie,stereophony,Reproduction d un son tridimensionnel .
stéréoscopie,stereoscopy,Vision binoculaire .
stéréoscopie,stereoscopy,"Technique qui permet de restituer l impression de la vision en relief , à partir de deux images en 2D ."
stéréovision,stereovision,"Méthode de mesure qui consiste à se servir de la prise d ’ images sous différents angles de vue pour déterminer les dimensions , les formes ou les positions d ’ objets ."
subordonner,subordinate,"Établir un ordre de dépendance de l ’ inférieur au supérieur . Ceci , dans une relation de pouvoir unidirectionnelle ."
subordonner,subordinate,Il se dit aussi en parlant des choses .
subordonner,subordinate,Mettre en relation de condition une chose d ’ une autre ; conditionner .
subventionner,subsidize,Soutenir par une subvention .
successif,successive,"Qui se fait par une marche continue , par un mouvement régulier , sans interruption ."
successif,successive,"Qualifie les choses qui se suivent de près , qui se succèdent les unes aux autres ."
successif,successive,"Relatif à une succession , à un héritage ."
succinctement,succinctly,"D ’ une manière succincte , en peu de mots ."
succinctement,succinctly,Pas copieusement .
succédané,substitute,"Qu ’ on peut substituer à d ’ autres , en parlant de médicaments qui ont les mêmes propriétés ."
succédané,substitute,Médicament qu ’ on peut substituer à un autre .
succédané,substitute,"par extension Tout produit qui , sans être de même nature , peut en remplacer un autre ."
succédané,substitute,"Tout produit qui , sans être de même nature , peut en remplacer un autre ."
sucer,suck,"Aspirer avec la bouche un liquide , une substance , le suc d ’ une chose ."
sucer,suck,"<concept> avec le lait une doctrine , une opinion , un sentiment , : Être de bonne heure imprégné d ’ une doctrine , d ’ une opinion bonne ou mauvaise , d ’ un sentiment ."
sucer,suck,Exercer un mouvement de succion sur une chose .
sucer,suck,"Embrasser longuement , intensément . Emploi pronominal réciproque fréquent"
suceur,sucker,personne qui suce
sucrer,sweeten,Mettre du sucre dans quelque chose .
sucrer,sweeten,Donner un goût sucré .
sucrer,sweeten,"Adoucir , rendre faussement aimable ."
sucrer,sweeten,"Subtiliser , voler , supprimer , retirer , censurer ."
suinter,ooze,"Sortir , s ’ écouler presque imperceptiblement , en parlant d un liquide , d ’ une humeur ."
suinter,ooze,"par ext Et en parlant du récipient d ’ où le liquide coule , de la plaie , de l ’ endroit d ’ où l ’ humeur sort ."
suppositoire,suppository,"Médicament solide en forme de cône , que l ’ on met dans le rectum pour faciliter les évacuations ou pour agir comme véhicule de certains médicaments ."
supputer,calculate,"Estimer à quel chiffre monte une somme , évaluer une quantité d ’ après certaines données ."
supputer,calculate,Évaluer un événement probable ou incertain .
surement,surely,De manière sure ; certainement .
surement,surely,De manière sure ; certainement
surhumain,superhuman,"Qui est de l ’ humain , soit au physique , soit au moral ."
surpasser,outdo,"Excéder , être plus haut , plus élevé , plus gros ."
surpasser,outdo,"être de , surmonter en quelque chose ; il se dit en bien et en mal ."
surpasser,outdo,"Excéder les forces , l ’ intelligence , les ressources ."
surpasser,outdo,particulier Causer un étonnement qui confond les idées .
surpâturage,overgrazing,Broutage excessif des pâturages par le bétail .
surtension,overvoltage,Tension supérieure de la tension normale du réseau électrique .
survenir,emerge,Arriver inopinément ; venir tout à coup .
survenir,emerge,Arriver de surcroît .
susdit,abovementioned,style juridique Nommé .
suspensif,suspensive,"Qui suspend , qui arrête et empêche d ’ aller en avant , de continuer ."
suspensif,suspensive,Qualifie les points mis à la suite les uns des autres pour marquer la suspension ou l ’ interruption du sens .
suspensif,suspensive,( Droit ) Qui suspend
suzeraineté,suzerainty,Qualité de suzerain .
suzeraineté,suzerainty,Domination effective d ’ un autre pays avec certaines autonomies domestiques .
suzeraineté,suzerainty,Domination d ’ un autre pays
sycophante,sycophant,"Dans l ’ Athènes antique , délateur professionnel , Athénien mettant en accusation ses concitoyens devant le tribunal populaire de l ’ Héliée en vue de s ’ enrichir ."
sycophante,sycophant,"Fourbe , menteur , délateur ."
syllabation,syllabification,Action de lire ou de prononcer syllabe par syllabe .
synchronicité,synchronicity,"Qualité de ce qui est synchronique , de ce qui se passe en même temps ."
synchronicité,synchronicity,"Occurrence simultanée d ’ au moins deux événements qui ne présentent pas de lien de causalité , mais dont l ’ association prend un sens pour la personne qui les perçoit ."
synchronicité,synchronicity,Occurrence simultanée donnant l ’ apparence de sens
syntagme,phrase,"Dans la phalange grecque , division de 256 hommes , formant un carré plein de 16 hommes de côté ."
syntagme,phrase,"Unité syntaxique intermédiaire entre le mot et la phrase , et comprenant un seul noyau et souvent des compléments ."
syntoniser,tune,Ajuster deux circuits à la même fréquence .
syringomyélie,syringomyelia,Maladie de la moelle épinière liée au développement d une cavité en son centre qui tend à comprimer et à détruire progressivement la substance grise puis la substance blanche .
syrrhapte,sandgrouse,"Genre d ’ oiseau à petite tête , au corps robuste et compact , aux ailes et à queue longues et pointues , aux pattes et aux pieds emplumés ."
sécuriser,secure,Rendre une zone ou un dispositif plus sûr .
séléniure,selenide,Combinaison du sélénium avec un autre corps simple .
sémiologique,semiological,Qui a rapport à la sémiologie .
sénevé,mustard,"Plante crucifère , , dont la graine sert à faire la moutarde ."
sénevé,mustard,"Désigne aussi la moutarde des champs ou , , voire la moutarde brune ."
sénevé,mustard,"Autre nom de la moutarde blanche qui est une plante fourragère et mellifère , elle sert aussi à préparer de la moutarde ."
sénile,senile,Relatif à la vieillesse .
sénile,senile,Qui rappelle le comportement d un vieillard .
séquençage,sequencing,"Décomposition d ’ une action , d ’ une démarche , d ’ un raisonnement en séquences ."
séquençage,sequencing,Détermination de l ’ ordre linéaire des composants d ’ une macromolécule .
sérialisme,serialism,Mouvement musical du XXe siècle dont le principe de construction se fonde sur une succession rigoureusement préétablie et invariable de sons appelée série . note On parle de sérialisme intégral quand le principe de la série est appliqué à tous les paramètres du son .
séropositif,seropositive,Ayant été contaminé par un virus et ayant développé des anticorps spécifiques .
séropositif,seropositive,particulier Ayant développé des anticorps spécifiques au VIH .
séropositif,seropositive,Contaminé et ayant développé des anticorps
séropositif,seropositive,Contaminé par le VIH
taboulé,tabbouleh,"Salade de fines herbes hachées , agrémentée de quelques grains de boulghour gonflés dans un mélange d huile d olive et de jus de citron , avec divers ingrédients rajoutés selon le gout du cuisinier : tomates , oignons , menthe , olives ,"
tachycardie,tachycardia,Augmentation anormale du nombre des battements du cœur .
tamarinier,tamarind,"Grand arbre des régions tropicales , de la famille des fabacées , atteignant 30 mètres de haut et dont les fruits sont récoltés pour être consommés frais ou cuits et pour confectionner des chutneys , des bonbons , des sirops , des glaces ,"
tamiser,sift,Séparer des éléments d un mélange à l ’ aide d ’ un tamis .
tamiser,sift,Passer à travers les grilles d un tamis .
tanaisie,tansy,"Astéracée à fleurs jaunes et , et qui a une odeur forte et une saveur amère ."
tapecul,seesaw,Balançoire à bascule faite d ’ une longue pièce de bois ou de métal dotée d ’ un siège à chacune de ses extrémités .
tapecul,seesaw,"Voiture , rude , ayant des problèmes de suspension ."
tapecul,seesaw,par ext Route mal revêtue et .
tapecul,seesaw,Petite voile située à l ’ extrémité arrière d ’ une embarcation .
taphonomie,taphonomy,Branche de la paléontologie qui étudie le processus de fossilisation en tant que tel depuis l ’ enfouissement sous toutes ses formes jusqu ’ à la formation de gisements fossilifères .
tatillon,picky,"Qui est trop minutieux , qui attache de l ’ importance aux moindres détails ."
tatillon,picky,Qui est trop minutieux
