la,la,syllable used in solfège to represent the sixth note of a major scale
eavesdrop,chéneau,space around a house on which such water drips
ecozone,écozone,large geographical region having a distinct biodiversity
enthrone,introniser,"To put on the throne in a formal installation ceremony called enthronement , equivalent to coronation and / or other ceremonies of investiture"
enthrone,introniser,"To help a candidate to the succession of a monarchy , or by extension in any other major organisation ."
enthrone,introniser,put on the throne
entrust,confier,To trust to the care of .
entrust,confier,To trust to the care of
femoral,fémoral,"Of , pertaining to , or near the femur or thigh ."
femoral,fémoral,"<concept> of , pertaining to , or near the femur or thigh"
femoral,fémoral,"of , pertaining to , or near the femur or thigh"
fisticuffs,bagarre,informal : a fight with the fists
fixture,luminaire,A lighting unit ; a luminaire
flatten,aplatir,to make something flat
forefathers,aïeux,plural of forefather
frosting,glaçage,A sugary coating for cakes and other baked goods .
frosting,glaçage,A layer of frost .
frosting,glaçage,"The theft of a car while it is left unattended , especially when its engine is left running in the winter to defrost the car ."
frosting,glaçage,a sugary coating for cakes and other baked goods
fruitful,fructueux,Favourable to the growth of fruit or useful vegetation ; fertile ; not barren .
fruitful,fructueux,Being productive in any sense ; yielding benefits .
fruitful,fructueux,"productive , yielding benefits"
geodynamics,géodynamique,a branch of geophysics
godly,divin,gloriously good
godly,divin,devoted to a god or God
godly,divin,of or pertaining to a god
gravitino,gravitino,"subatomic particle , related to the graviton"
grisly,épouvantable,"Horrifyingly repellent ; gruesome , terrifying ."
grisly,épouvantable,In a horrible or terrible manner ; in a terrifying way .
grisly,épouvantable,"horrifyingly repellent ; terrifying , gruesome"
grok,piger,To understand intuitively .
grok,piger,To know without having to think intellectually .
grok,piger,To fully and completely understand something in all of its details and intricacies .
grok,piger,to fully understand
gurgle,gargouillis,gurgling sound
hallucinogenic,hallucinogène,a substance that is a hallucinogen
halogen,halogène,"Any element of group 17 , i.e. fluorine , chlorine , bromine , iodine and astatine , which form a salt by direct union with a metal ."
halogen,halogène,any element of group 7
handlebar,guidon,"The bar used to steer a bicycle , motorbike , or similar vehicle , usually used in the plural ."
handlebar,guidon,bar for steering
headband,bandeau,A strip of fabric worn around the head .
headband,bandeau,"A , made of a flexible material and curved like a horseshoe , for holding one s hair back ."
headband,bandeau,A strip of fabric attached to the top of the spine of a book ; used as decoration and reinforcement .
headband,bandeau,strip of fabric attached to the top of the spine of a book
hematite,hématite,"An iron ore , mainly peroxide of iron , Fe 2 O 3 ."
hemoglobin,hémoglobine,"The iron-containing substance in red blood cells that transports oxygen from the lungs to the rest of the body ; it consists of a protein , and haem ."
hemoglobin,hémoglobine,the iron-containing substance in red blood cells that transports oxygen
heparin,héparine,"A glycosaminoglycan , originally isolated from liver cells , now made synthetically for medical use , used as an anticoagulant"
heparin,héparine,a glycosaminoglycan
hesitant,hésitant,"Tending to hesitate , wait , or proceed with caution or reservation ."
hesitant,hésitant,tending to hesitate
heterosexuality,hétérosexualité,The state of being sexually and romantically attracted primarily or exclusively to persons of the opposite sex .
heterosexuality,hétérosexualité,Sexual activity with a person of the opposite sex .
heterosexuality,hétérosexualité,heterosexual orientation
homebody,casanier,person who likes to stay home
hostility,hostilité,state of being hostile
hovel,taudis,poor cottage
hydration,hydratation,the incorporation of water molecules into a complex with those of another compound
hydration,hydratation,the process of providing an adequate amount of water to body tissues
hydration,hydratation,"the chemical reaction by which a substance combines with water , giving off heat to form a crystalline structure in its setting and hardening ."
hysterectomy,hystérectomie,surgical removal of the uterus or part thereof
ibuprofen,ibuprofène,pharmaceutical drug
icebox,glacière,box or compartment containing ice
icebox,glacière,compartment of a refrigerator used as a freezer
iconostasis,iconostase,a wall of icons
imperious,impérieux,"domineering , overbearing"
incoherence,incohérence,The quality of being incoherent .
incoherence,incohérence,quality of being incoherent
incoherence,incohérence,something incoherent
incumbent,titulaire,current holder of an office
infallible,infaillible,without fault or weakness ; incapable of error or fallacy
initialize,initialiser,to assign an initial value to a variable
initialize,initialiser,to assign initial values to something
inject,injecter,to administer an injection to
inject,injecter,to push or pump something in
instigator,instigateur,"A person who intentionally instigates , incites , or starts something , especially one that creates trouble ."
instigator,instigateur,person who intentionally instigates something
intentionality,intentionnalité,characteristic
isomorphism,isomorphisme,Similarity of form
isomorphism,isomorphisme,the similarity in form of organisms of different ancestry
isotropic,isotrope,Having properties that are identical in all directions ; exhibiting isotropy .
isotropic,isotrope,having properties which are equivalent in all directions
jink,zigzag,A quick evasive turn .
jink,zigzag,To make a quick evasive turn
kettlebell,girevoy,A weight consisting of a cast iron ball with a single handle for gripping the weight during exercise .
kettlebell,girevoy,weightlifting <concept> cast iron ball with a handle
kettlebell,girevoy,a kind of weight
ladle,louche,"A spoon with a long , usually curved , handle ."
ladle,louche,A container used in a foundry to transport and pour out molten metal .
ladle,louche,The float of a mill wheel ; a ladle board .
ladle,louche,An instrument for drawing the charge of a cannon .
landlocked,enclavé,surrounded by land
lithe,svelte,slim but not skinny
lithe,svelte,Capable of being easily bent
lithe,svelte,To become calm .
lithe,svelte,To make soft or mild ; soften ; alleviate ; mitigate ; lessen ; smooth ; palliate .
luminary,lumière,One who is an inspiration to others ; one who has achieved success in their chosen field ; a leading light .
luminary,lumière,An artificial light ; an illumination .
luminary,lumière,"A body that gives light ; especially , one of the heavenly bodies ."
luminary,lumière,artificial light
lummox,rustre,"clumsy , stupid person"
lurid,blafard,"ghastly , pale or wan in appearance"
lurid,blafard,"shocking , horrifying"
lurid,blafard,being of a light yellow hue
machismo,machisme,"male chauvinism , bigotry against women"
machismo,machisme,exaggerated masculinity
macrocosm,macrocosme,"A complex structure , such as a society , considered as a single entity that contains numerous similar , smaller-scale structures ."
macrocosm,macrocosme,a complex structure containing numerous smaller-scale structures
medlar,néflier,"a tree of the former genus , now ."
medlar,néflier,"the plant of the family Rosaceae , also known as Stern s medlar ."
medlar,néflier,"the plant Crataegus azarolus of the family Rosaceae , also known as Mediterranean medlar ."
medlar,néflier,"the plant Eriobotrya japonica of the family Rosaceae , also known as Japanese medlar ."
methionine,méthionine,"A , essential amino acid , C 5 H 11 NO 2 S , found in most protein ."
narcissist,narcissique,one who shows extreme love for himself or herself
neurologist,neurologue,doctor or scientist who practices or specializes in neurology
nostril,narine,Either of the two orifices located on the nose ; used as a passage for air and other gases to travel the nasal passages .
nostril,narine,either of the two orifices located on the nose
optimize,optimiser,To act optimistically or as an optimist .
optimize,optimiser,To make optimal .
optimize,optimiser,"To make more efficient , such as a computer program ."
optimize,optimiser,To become optimal .
panjandrum,ponte,"important , powerful or influential person"
penniless,désargenté,utterly impoverished
perceive,percevoir,"To see , to be aware of , to understand ."
perfumer,parfumeur,A person who makes or sells perfume .
perfumer,parfumeur,person who makes or sells perfume
perihelion,périhélie,The point in the elliptical orbit of a planet or comet etc. where it is nearest to the Sun
perihelion,périhélie,point where the planet or comet is nearest to the Sun
petasus,pétase,low-crowned hat worn by the Ancient Greeks and Romans
phenology,phénologie,The study of the effect of climate on periodic biological phenomena .
phenology,phénologie,study of the effect of climate
phrenology,phrénologie,"The science , now generally discredited , which studies the relationships between a person s character and the morphology of the skull ."
phrenology,phrénologie,the discredited & quot ; science & quot ; or pseudo-science of phrenology
phytopathology,phytopathologie,study of plant diseases
pietist,piétiste,supporter of pietism
playability,jouabilité,property of being playable
playability,jouabilité,overall quality of a gameplay
portcullis,herse,gate in the form of a grating
porthole,hublot,A circular window set in the hull of a ship .
porthole,hublot,circular window
postoperative,postopératoire,"of , pertaining to , or occurring in the period after a surgical operation"
practicable,praticable,Capable of being accomplished ; feasible .
practicable,praticable,"Serving a useful function ; useful , functional or handy ."
practicable,praticable,Available for use ; accessible or employable .
precede,précéder,"To go before , go in front of ."
precede,précéder,To cause to be preceded ; to preface ; to introduce .
precede,précéder,To have higher rank than .
precede,précéder,have higher rank than
precognition,précognition,knowledge of something that is to occur in the future
prehensile,préhensile,able to take hold of objects
prelate,prélat,"A clergyman of high rank and authority , having jurisdiction over an area or a group of people ; normally a bishop ."
protozoan,protozoaire,"Any of the diverse group of eukaryotes , of the phylum Protozoa , that are primarily unicellular , existing singly or aggregating into colonies , are usually , and are often classified further into phyla according to their capacity for and means of motility , as by pseudopods , flagella , or cilia ."
pudgy,grassouillet,"Fat , overweight , plump ; chubby ."
pudgy,grassouillet,"Fat , overweight ( pertaining particularly to children ) , plump ; chubby"
putrefaction,putréfaction,"The act of causing to rot ; the anaerobic splitting of proteins by bacteria and fungi with the formation of malodorous , incompletely oxidized products ."
putrefaction,putréfaction,The state of being rotten .
putrefaction,putréfaction,the act of causing to rot
ramshackle,délabré,in disrepair or disorder
razorbill,pingouin,"a large black and white auk , Alca torda"
reckon,compter,"To count ; to enumerate ; to number ; also , to compute ; to calculate ."
reckon,compter,"To count as in a number , rank , or series ; to estimate by rank or quality ; to place by estimation ; to account ; to esteem ; to repute ."
reckon,compter,"To charge , attribute , or adjudge to one , as having a certain quality or value ."
reckon,compter,"To conclude , as by an enumeration and balancing of chances ; hence , to think ; to suppose ; -- followed by an objective clause ;"
redshank,gambette,Old World wading bird
redstart,rougequeue,ground-feeding bird
reluctance,réluctance,magnetic resistance
reluctance,réluctance,unwillingness to do something
remarkably,remarquablement,in a remarkable manner
remuneration,rémunération,Something given in exchange for goods or services rendered .
remuneration,rémunération,"A payment for work done ; wages , salary , emolument ."
remuneration,rémunération,A recompense for a loss ; compensation .
remuneration,rémunération,"a payment for work done ; wages , salary , emolument"
repay,rembourser,to pay back
replicate,répliquer,To make a copy of .
replicate,répliquer,To repeat with a consistent result .
replicate,répliquer,Folded over or backward ; folded back upon itself .
replicate,répliquer,to make a copy of
repulsive,répugnant,tending to rouse aversion or to repulse
repulsive,répugnant,having the capacity to repel
repulsive,répugnant,Feminine plural form of
rhombic,rhombique,Having the characteristics of a rhombus .
rhombic,rhombique,of or pertaining to a rhombus
rummage,fouiller,to hastily search for
rummage,fouiller,to search something thoroughly and with disregard
rummage,fouiller,to search something which contains many items
ruthenium,ruthénium,A metallic chemical element with an atomic number of 44 .
sabbatical,sabbatique,Relating to the Sabbath / sabbath .
scaffolding,échafaudage,A temporary modular system of tubes forming a framework used to support people and material in the construction or repair of buildings and other large structures .
scaffolding,échafaudage,system of tubes or poles used to support people and material
scientometrics,scientométrie,"the scientific measurement of the work of scientists , especially by way of analysing their publications and the citations within them"
seclusion,isolement,"the act of secluding , shutting out or keeping apart"
seclusion,isolement,"the state of being secluded or shut out , as from company , society , the world , etc ."
seclusion,isolement,"a secluded , isolated or private place"
seclusion,isolement,mature phase of the extratropical cyclone lifecycle
sedentary,sédentaire,Not moving ; relatively still ; staying in the vicinity .
sedentary,sédentaire,Not moving much ; sitting around .
sedentary,sédentaire,inactive ; motionless ; sluggish ; tranquil
sedentary,sédentaire,Caused by long sitting .
snowdrift,congère,A bank of snow accumulated by the wind .
snowdrift,congère,bank of snow
specialize,spécialiser,"To make distinct or separate , particularly :"
specialize,spécialiser,To go into specific details .
specialize,spécialiser,To specify : to mention specifically .
specialize,spécialiser,To narrow in scope .
spew,cracher,To eject forcibly and in a stream
spew,cracher,"To speak or write quickly and voluminously , especially words that are not worth listening to or reading ."
spew,cracher,en to ejaculate
spew,cracher,"en to laugh unexpectedly while drinking , causing drink to exit the nose"
squishy,mou,"( of an object or substance ) yielding easily to pressure ; very soft ; especially , soft and wet , as mud"
stutterer,bègue,one who stutters
suffice,suffire,To be enough or sufficient ; to meet the need ; to be equal to the end proposed ; to be adequate ; to be good enough .
suffice,suffire,To satisfy ; to content ; to be equal to the wants or demands of .
suffice,suffire,To furnish ; to supply adequately .
suffice,suffire,"be enough , sufficient , adequate"
sward,gazon,A layer of earth into which grass has grown ; turf ; sod .
sward,gazon,An expanse of land covered in grass ; a lawn or meadow .
sward,gazon,"lawn , meadow"
sweetener,édulcorant,food additive
tailings,débris,waste that remains after the minerals have been extracted from an ore
tamarisk,tamaris,"Any of several shrubs , of the genus Tamarix , native to arid regions in Eurasia and Africa , often invasive in other arid regions ."
tamarisk,tamaris,shrub of the genus Tamarix
tarpaulin,bâche,"A tarp , a heavy , waterproof sheet of material , often cloth , used as a cover or blanket ."
tarpaulin,bâche,"Any heavy , waterproof material used as a cover ."
tarpaulin,bâche,"Canvas waterproofed with tar , used as a cover ."
tarpaulin,bâche,"A hat made of , or covered with , painted or tarred cloth , worn by sailors and others ."
teletype,télétype,A message printed by a teleprinter
teletype,télétype,An early input / output device for mainframe computers
teletype,télétype,teleprinter
thousandth,millième,The ordinal form of the number one thousand .
thousandth,millième,the person or thing in the <concept> position
thousandth,millième,one of a thousand equal parts of a whole
threaten,menacer,"to menace , or be dangerous"
threaten,menacer,to make a threat against someone ; to use threats
tipple,carreau,An area near the entrance of mines which is used to load and unload coal .
tipple,carreau,An apparatus for unloading railroad freight cars by tipping them ; the place where this is done .
tipple,carreau,Any alcoholic drink .
tipple,carreau,To drink too much alcohol
transferase,transférase,enzyme which catalyses the transfer of a functional group
transitory,passager,lasting only a short time
tryptophan,tryptophane,essential amino acid
ugliness,laideur,The condition of being ugly
ugliness,laideur,An unsightly or frightful object
ugliness,laideur,condition of being ugly
undermine,saper,"To dig underneath , to make a passage for destructive or military purposes ; to from 14th c ."
undermine,saper,"To weaken or work against ; to hinder , from 15th c ."
undermine,saper,"to dig , tunnel , hollow out as if making a cave or opening"
undermine,saper,"hinder , sabotage"
ungrateful,ingrat,Not grateful ; not expressing gratitude .
ungrateful,ingrat,not grateful
unidirectional,unidirectionnel,"Pertaining to only one direction , e.g. : where all component parts are aligned in the same direction in space ."
unidirectional,unidirectionnel,pertaining to only one direction
unpaid,impayé,Not paid for .
unpaid,impayé,"Of work : done without agreed payment , usually voluntarily ."
unpaid,impayé,not paid for
unsteady,instable,"Not held firmly in position , physically unstable ."
unsteady,instable,Lacking regularity or uniformity .
unsteady,instable,"Inconstant in purpose , or volatile in behavior ."
unsuccessful,infructueux,"failed , not successful"
ununoctium,ununoctium,The systematic element name for the chemical element with atomic number 118 .
veganism,véganisme,Eating neither meat nor other animal products
viscountess,vicomtesse,viscount s wife
viscountess,vicomtesse,a woman holding the rank of viscount in her own right
voucher,coupon,"A piece of paper that entitles the holder to a discount , or that can be exchanged for goods and services ."
voucher,coupon,One who or that which vouches .
voucher,coupon,<concept> piece of paper that entitles the holder to a discount
voucher,coupon,"A piece of paper that entitles the holder to a discount , or that can be exchanged for goods and services"
voyeurism,voyeurisme,derivation of sexual satisfaction by watching people secretly
wakeful,éveillé,awake rather than sleeping
walkout,grève,A sudden stoppage of work ; a strike .
walkout,grève,A similar mass action of people leaving a place as a form of protest .
windowpane,vitre,piece of glass filling a window
woodwork,charpenterie,handiwork of wood
woodwork,charpenterie,a woodworking shop or factory
aborigine,aborigène,aboriginal inhabitant of a country
accentuate,accentuer,To pronounce with an accent or vocal stress .
accentuate,accentuer,To bring out distinctly ; to make more noticeable or prominent ; to emphasize .
accentuate,accentuer,To mark with a written accent .
accentuate,accentuer,to mark with a written accent
acceptor,accepteur,one who accepts
affix,affixe,That which is affixed ; an appendage .
affix,affixe,A bound morpheme added to the word ’ s stem s end .
affix,affixe,"A bound morpheme added to a word ’ s stem ; the term comprises prefixes , suffixes , infixes , circumfixes , and ."
affix,affixe,The complex number a + bi associated with the point in the Gauss plane with coordinates .
ague,fièvre,An acute fever .
ague,fièvre,"An intermittent fever , attended by alternate cold and hot fits ."
ague,fièvre,The cold fit or rigor of the intermittent fever
ague,fièvre,"A chill , or state of shaking , as with cold ."
aldehyde,aldéhyde,Any of a large class of reactive organic compounds having a carbonyl functional group attached to one hydrocarbon radical and a hydrogen atom .
aldehyde,aldéhyde,organic compound of the general formula R · CHO
alienate,aliéner,Estranged ; withdrawn in affection ; foreign
alienate,aliéner,"To convey or transfer to another , as title , property , or right ; to part voluntarily with ownership of ."
alienate,aliéner,"To estrange ; to withdraw affections or attention from ; to make indifferent or averse , where love or friendship before subsisted ; to wean ."
alienate,aliéner,second-person plural imperative of
aloof,distant,reserved and remote ; either physically or emotionally distant
androgen,androgène,"The generic term for any natural or synthetic compound , usually a steroid hormone , that stimulates or controls the development and maintenance of masculine characteristics in vertebrates . A male sex hormone such as testosterone or anabolic steroids ."
anemic,anémique,of or pertaining to anemia
antipope,antipape,person who claims to be pope
aortic,aortique,of or concerning the aorta
assegai,sagaie,slim hardwood spear or javelin with an iron tip
assortment,assortiment,collection of varying but related items
auricular,auriculaire,Of or pertaining to the ear .
auricular,auriculaire,Of or pertaining to the sense of hearing .
auricular,auriculaire,"Told in the ear , i. e . , told privately ."
auricular,auriculaire,Recognized by the ear ; known by the sense of hearing .
auspicious,propice,indicating future success
autoerotic,autoérotique,masturbatory
bigotry,bigoterie,"Characteristic qualities of a bigot : intolerant prejudice , , or fanaticism ; fanatic intolerance ."
bigotry,bigoterie,obstinate prejudice or
bigotry,bigoterie,"intolerant prejudice , , or fanaticism ; fanatic intolerance"
bilious,bilieux,of or pertaining to bile
bilious,bilieux,"irritable , irascible"
bilious,bilieux,suffering from real or supposed liver disorder
biomechanical,biomécanique,of or pertaining to biomechanics
boxwood,buis,"The box tree , Buxus sempervirens ."
boxwood,buis,"The hard , close-grained wood of this tree , used in delicate woodwork and in making inlays"
boxwood,buis,Any tree of genus Buxus .
boxwood,buis,Buxus sempervirens
brooklet,ruisselet,a little brook
brushwood,brindilles,fallen branches and twigs
buoyant,flottant,having buoyancy ; able to float
buoyant,flottant,lighthearted and lively
buoyant,flottant,able to float
cannonade,canonnade,firing artillery in a large amount for a length of time
captivate,captiver,to attract and hold interest and attention of
carcinogenicity,cancérogénicité,the state or degree of being carcinogenic
cedilla,cédille,"In the spelling of Catalan , French , Portuguese and some other languages , a mark sometimes placed under the letter c to indicate that it is pronounced / s / rather than / k / , as in French and Portuguese , and also used in various other languages to change the sounds of other letters ."
cedilla,cédille,Name of the letter ç .
cedilla,cédille,mark placed under the letter c
clarify,clarifier,to make clear
concede,concéder,To yield or suffer ; to surrender ; to grant
concede,concéder,"To grant , as a right or privilege ; to make concession of ."
concede,concéder,To admit to be true ; to acknowledge .
concede,concéder,To yield or make concession .
conservationist,écologiste,A person who maintains natural areas or protects threatened species
contraption,machin,A machine that is complicated and precarious .
contraption,machin,complicated and precarious machine
copilot,copilote,A backup or assistant pilot of an aircraft .
copilot,copilote,relief or assistant pilot of an aircraft
cowry,cauri,Cypraea moneta
cowry,cauri,any mollusc of the genus Cypraea
crepuscular,crépusculaire,Of or resembling twilight ; dim .
crepuscular,crépusculaire,"Active at or around dusk , dawn or twilight ."
crepuscular,crépusculaire,"active at or around dusk , dawn or twilight"
crepuscular,crépusculaire,of or relating to twilight
demonization,diabolisation,the act of demonizing or something demonized
dentin,dentine,material of a tooth
depleted,épuisé,"used up , expended"
desertion,désertion,The act of deserting .
deterioration,détérioration,process of making or growing worse
detest,détester,To dislike intensely ; to loathe .
detest,détester,To witness against ; to denounce ; to condemn .
detest,détester,to dislike intensely
deuterium,deutérium,An isotope of hydrogen formed of one proton and one neutron in each atom - H.
deuterium,deutérium,An atom of this isotope .
diabetic,diabétique,person suffering from diabetes mellitus
disassembly,désassemblage,The process of disassembling .
disassembly,désassemblage,The code generated by a disassembler .
disassembly,désassemblage,code generated by a disassembler
disassembly,désassemblage,process of disassembling
discrepancy,incohérence,inconsistency
diskette,disquette,"A small , flexible , magnetic disk for storage and retrieval of data ."
diskette,disquette,An 8-inch floppy disk .
diskette,disquette,"small , flexible , magnetic disk for storage and retrieval of data"
distinctly,distinctement,in a distinct manner
doofus,andouille,person with poor judgement and taste
drumstick,baguette,stick used to play drums
dyslexic,dyslexique,a person who has dyslexia
electrify,électrifier,To supply electricity to ; to charge with electricity .
electrify,électrifier,To cause electricity to pass through ; to affect by electricity ; to give an electric shock to .
electrify,électrifier,To adapt for electric power .
electrify,électrifier,"To strongly excite , especially by something delightful or inspiring ; to thrill ."
electrolyte,électrolyte,substance that ionizes and conducts electricity
embattled,armé,prepared or armed for battle
embattled,armé,having battlements or crenellations
embattled,armé,"subject to or troubled by battles , controversy or debates"
embattled,armé,( heraldry ) drawn with a line of alternating square and extensions
embody,incarner,To represent in a physical form ; to incarnate or personify
embody,incarner,"To include or represent , especially as part of a cohesive whole"
embody,incarner,To unite in a body or mass .
embody,incarner,"include or represent , especially as part of a cohesive whole"
enlist,rejoindre,to join a cause or organization
enlist,rejoindre,to recruit or to obtain
enteric,entérique,"of , relating to , within , or by way of the intestines"
exoticism,exotisme,The state of being exotic .
exoticism,exotisme,the state of being exotic
experimentally,expérimentalement,in the manner of an experiment
extinguish,éteindre,"to put out , as in fire ; to end burning ; to quench"
extinguish,éteindre,to destroy or abolish something
extinguish,éteindre,to obscure or eclipse something
extinguish,éteindre,to bring about the extinction of a conditioned reflex
exuberant,exubérant,"abundant , luxuriant , profuse , superabundant"
fainting,syncope,an act of collapsing to a state of temporary unconsciousness
fishmonger,poissonnier,person who sells fish
forcible,forcé,"Done by force , forced . Oxford American Dictionaries"
forcible,forcé,"Having force , forceful ."
forcible,forcé,"Having a powerful effect ; forceful , telling , strong , convincing , effective ."
forcible,forcé,Able to be forced .
foregone,précédent,"Previous , former"
foregone,précédent,"inevitable , predictable"
fortieth,quarantième,The ordinal form of the number forty .
fortieth,quarantième,person or thing
fortieth,quarantième,one of forty equal parts
fritter,beignet,A dish made by deep-frying food coated in batter .
fritter,beignet,A fragment ; a shred ; a small piece .
frivolous,frivole,"Silly , especially at an inappropriate time or in an inappropriate manner ."
frivolous,frivole,Of little weight or importance ; not worth notice ; slight .
frivolous,frivole,"In litigation , a lawsuit filed by a party who is aware the claim is without merit and has no reasonable prospect of success because of a lack of supporting legal or factual basis ."
frivolous,frivole,silly ; especially at an inappropriate time or in an inappropriate manner
frosh,bleu,"A first year student , at certain universities ."
frosh,bleu,to initiate academic freshmen
gargantuan,gargantuesque,Of the giant Gargantua or his appetite .
gargantuan,gargantuesque,Huge ; immense ; tremendous .
gargantuan,gargantuesque,of the giant Gargantua or his appetite
geochronology,géochronologie,The science of dating samples of rock or sediment .
geochronology,géochronologie,Any one of the methods by which the age of different samples of rock can be determined .
geochronology,géochronologie,any one of the methods by which the age of different samples of rock can be determined
gimbal,cardan,device for suspending something
girlish,fille,Like a girl ; feminine .
girlish,fille,Of or relating to girlhood .
girlish,fille,like a girl
harvestman,faucheur,A who works to gather in the harvest .
harvestman,faucheur,"An order of terrestrial , non-venomous arachnids with often very long legs : Opiliones ."
hogweed,berce,umbelliferous plant
horrific,horrifique,causing horror
hydride,hydrure,A compound of hydrogen with a more electropositive element .
hydride,hydrure,compound of hydrogen
hydrophilic,hydrophile,having an affinity for water
iffy,louche,"Of dubious authenticity , legitimacy or legality ."
iffy,louche,Uncertain or chancy .
iffy,louche,"Of dubious authenticity , legitimacy or legality"
illegally,illégalement,in a manner contrary to the law
incunabulum,incunable,"A book , single sheet , or image that was printed — not handwritten — before the year 1501 in Europe ."
incunabulum,incunable,in plural the apparatus of the cradle ;
incunabulum,incunable,"book , single sheet , or image that was printed before the year 1501 in Europe"
inescapable,inévitable,be avoided
inflated,gonflé,Filled with air or fluid
inflated,gonflé,"Expanded ; in a state of inflation , of abnormally increased size , amount , etc ."
inflated,gonflé,: In a state of higher cost .
inflated,gonflé,"Containing excessive , meaningless words , particularly for show"
inhabit,habiter,to live or reside in some place
initialization,initialisation,programming : assignment of initial value of variable
insignificant,insignifiant,not significant ; not important
interactivity,interactivité,quality of being interactive
invoice,facture,"A bill ; a commercial document issued by a seller to a buyer indicating the products , quantities and agreed prices for products or services that the seller has already provided the buyer with . An invoice indicates that , unless paid in advance , payment is due by the buyer to the seller , according to the agreed terms ."
invoice,facture,The lot or set of goods as shipped or received .
invoice,facture,The price which a seller or dealer pays the manufacturer for goods to be sold .
involute,développante,a curve that cuts all tangents of another curve at right angles ; traced by a point on a string that unwinds from a curved object
jettison,lest,"Collectively , items that have been or are about to be ejected from a boat or balloon ."
jettison,lest,The action of jettisoning items .
jettison,lest,to let go or get rid of
jettison,lest,to eject from a boat
kolkhoz,kolkhoze,farming collective
lithographer,lithographe,a person who makes lithographs
majordomo,majordome,head servant
malefactor,malfaiteur,A criminal or felon .
malevolence,malveillance,hostile feeling and attitude
manservant,serviteur,A male servant .
manservant,serviteur,male servant
masturbate,masturber,"To stimulate oneself sexually , especially by use of one ’ s hand , sometimes with a partner ."
masturbate,masturber,To stimulate someone else sexually without penetration of the penis .
masturbate,masturber,"derogatory To stimulate or please oneself by means of anything , not necessarily sexual , that does not get them anywhere ; something that wastes their time ; something that does not help others or achieve any important goal ."
mechanize,mécaniser,to equip with machinery
melodious,mélodieux,having a pleasant melody
meniscus,ménisque,either of two parts of the human knee
meniscus,ménisque,the curved surface of liquids
metabolite,métabolite,"any substance produced by , or taking part in , a metabolic reaction"
morbidity,morbidité,"The quality of being unhealthful , morbid , sometimes including the cause ."
morbidity,morbidité,"The incidence of a disease , as a rate of a population which is affected ."
morbidity,morbidité,"An occurrence of illness or disease , or a single symptom of that illness ."
morbidity,morbidité,Adverse effects caused by a medical treatment such as surgery .
mutually,mutuellement,"in the same way , each to the other ; reciprocally"
obstinate,obstiné,"Stubbornly adhering to an opinion , purpose , or course , usually with implied unreasonableness ; persistent ."
obstinate,obstiné,Said of inanimate things not easily subdued or removed .
obstinate,obstiné,"adhering to an opinion , purpose , or course , usually unreasonably"
oligopoly,oligopole,An economic condition in which a small number of sellers exert control over the market of a commodity .
oligopoly,oligopole,economic condition
osmotic,osmotique,Of or relating to osmosis .
osmotic,osmotique,of or relating to osmosis
paradoxical,paradoxal,having self-contradicting properties
parallelogram,parallélogramme,A convex quadrilateral in which each pair of opposite edges are parallel and of equal length .
parallelogram,parallélogramme,either of two rectangular areas abutting the goal line in front of the )
parallelogram,parallélogramme,convex quadrilateral in which each pair of opposite edges are parallel and of equal length
parison,paraison,primary mass in glassblowing
peccadillo,peccadille,small sin or flaw
peccadillo,peccadille,petty offense
penetrate,pénétrer,To enter into ; to make way into the interior of ; to pierce .
penetrate,pénétrer,"To achieve understanding of , despite some obstacle ; to comprehend ; to understand ."
penetrate,pénétrer,To affect profoundly through the senses or feelings ; to move deeply .
penetrate,pénétrer,To infiltrate an enemy to gather intelligence .
percutaneous,percutané,taking place through the skin
peridot,péridot,"A transparent olive-green form of olivine , used as a gem ."
peridot,péridot,"A yellow-green colour , like that of the peridot ."
peridot,péridot,form of olivine
perigee,périgée,"The point , in an orbit about the Earth , that is closest to the Earth : the periapsis of an Earth orbiter ."
perigee,périgée,"The point , in an orbit about any planet , that is closest to the planet : the periapsis of any satellite ."
perigee,périgée,"The point , in any trajectory of an object in space , where it is closest to the Earth ."
perigee,périgée,closest point to the Earth
periodicity,périodicité,property of being periodic
persist,persister,To go on stubbornly or resolutely .
persist,persister,To repeat an utterance .
persist,persister,To continue to exist .
persist,persister,To cause to <concept> ; make permanent .
personification,personnification,"person , thing or name typifying a certain quality or idea"
pith,moelle,"The soft , spongy substance in the center of the stems of many plants and trees ."
pith,moelle,The spongy interior substance of a feather .
pith,moelle,The spinal cord ; the marrow .
pith,moelle,The albedo of a citrus fruit .
planetoid,planétoïde,An asteroid of any size
planetoid,planétoïde,"An asteroid-like body in an orbit beyond the asteroid belt , such as a centaur or Kuiper belt object"
planetoid,planétoïde,"A larger , planetary , body in orbit around the Sun , such as Vesta or dwarf planets such Eris or Sedna"
planetoid,planétoïde,A dwarf planet
poaching,braconnage,trespassing in search of game
pretentious,prétentieux,Intended to impress others ; ostentatious .
pretentious,prétentieux,Marked by an unwarranted claim to importance or distinction .
pretentious,prétentieux,marked by an unwarranted claim to importance or distinction
prophylaxis,prophylaxie,"Prevention of , or protective treatment for disease ."
prophylaxis,prophylaxie,A move or strategy that frustrates an opponent s plan or tactic .
prophylaxis,prophylaxie,"prevention of , or protective treatment for disease"
propriety,décence,The particular character or essence of someone or something ; individuality . c .
