radiculaire	radicular
pelvien	pelvic
millénarisme	millenarianism
inule	fleabane
rame	oar
kokochnik	kokoshnik
décroissance	degrowth
difficile	difficult
corolle	petal
cogner	bang
gonfler	inflate
embonpoint	stoutness
stéréophonie	stereophony
amorphe	vapid
sirop	syrup
suffrage	vote
blastocyste	blastocyst
incorruptible	incorruptible
chevreuil	roe
soutien	endorsement
pédalo	pedalo
activisme	activism
embarrasser	embarrass
affranchi	freedman
citrique	citric
gentillesse	kindness
rocaille	rockery
outer	out
beauté	fairness
psychométrie	psychometry
télécarte	phonecard
privatiser	privatize
visiteur	visit
décapité	decapitated
vallée	valley
polymérase	polymerase
plagiaire	plagiarist
gribouiller	scribble
polir	polish
réfléchi	reflected
hydromorphe	waterlogged
combatif	combative
atomicité	atomicity
neurophysiologie	neurophysiology
vadrouille	stroll
anal	anal
truelle	trowel
aoul	aul
victoire	competition
bison	bison
cracher	spit
lolcat	lolcat
succursale	branch
chips	crisp
mémoire	memoir
inculpé	defendant
droguerie	drugstore
suffisant	enough
subpolaire	subpolar
suffisant	cocky
harceler	harass
lubricité	lust
vendre	sell
basse	bass
rituel	ritual
dormant	dormant
huitième	eighth
datagramme	datagram
outsider	underdog
remarque	remark
plateau	scale
trempette	dip
capital	momentous
chaperonner	hood
cyclothymie	cyclothymia
sevrage	withdrawal
fraudeur	fraudster
précision	precision
kitsch	tawdry
colite	colitis
incorrectement	discourteously
systole	systole
agitation	agitation
selles	stool
cloche	cloche
ciseaux	scissors
horizon	horizon
accidentellement	accidentally
cruche	jug
matérialisation	materialization
puli	puli
anhydride	anhydride
supplanter	supersede
loué	blessed
malédiction	malediction
remise	delivery
révérence	reverence
pugnace	pugnacious
interpréteur	interpreter
événement	result
austérité	austerity
takamaka	takamaka
abstraction	abstraction
dumping	dumping
maléfique	maleficent
imposer	compel
buis	box
préservation	preservation
punaise	stinkbug
histologie	histology
stevedore	stevedore
civière	gurney
randonnée	excursion
bégaiement	stammer
volant	badminton
braiment	bray
funéraire	funerary
scirpe	bulrush
asymétriquement	asymmetrically
wakame	wakame
réprimer	quell
prétendre	pretend
descendance	offspring
rivalité	competition
paracentèse	paracentesis
candidement	confidently
capote	cape
harmoniser	harmonize
détester	detest
optimiste	optimistic
féminin	feminine
interférer	interfere
métallurgie	metallurgy
spoutnik	sputnik
rejeter	discard
coquetier	eggcup
heur	luck
lave	lava
évolutif	evolving
bagatelle	trivia
pulpe	pulp
relaxer	relax
farfadet	leprechaun
fréquenter	frequent
fier	proud
pensée	pansy
hétérozygote	heterozygous
flétrissure	blemish
primaire	primary
convention	convention
perspective	perspective
statue	statue
neutralisme	neutralism
faufiler	worm
environnemental	environmental
répéter	repeat
pédantisme	pedantry
parasites	static
décolorant	bleach
préemption	preemption
éthylbenzène	ethylbenzene
chien	dog
plantade	crash
géobiologie	geobiology
monophtongue	monophthong
gigue	gigue
amorçage	boot
tabernacle	tent
cæcum	blind
incriminer	incriminate
argile	clay
cyclope	cyclops
électricité	electric
ongulé	ungulate
poutine	poutine
turpitude	turpitude
représenter	perform
miauler	mew
couper	trump
soixantaine	sixties
bimétallique	bimetallic
cloporte	woodlouse
actif	asset
folle	madwoman
distrib	distro
mordant	mordant
double	double
diluvium	diluvium
danger	jeopardy
défendu	forbidden
svelte	svelte
porté	borne
mûrir	mature
liberté	freedom
nori	nori
psychologie	psychology
discrimination	discrimination
candélabre	candelabra
tuyau	tube
mojito	mojito
tuf	tufa
packer	packer
identification	identification
volubile	voluble
contrecoup	impact
triton	newt
tranche	tranche
transplantation	transplantation
gribouillis	scribble
logocentrisme	logocentrism
propriétaire	owner
fatha	fatha
goubernia	guberniya
intensification	intensification
supertanker	supertanker
secrètement	secretly
marcel	singlet
physicien	physicist
vulgarisation	popularization
porteur	hauler
agréable	agreeable
fallacieux	mendacious
propolis	propolis
citerne	cistern
démentiel	dementia
exaucer	grant
fiole	vial
inventer	invent
hanté	haunted
aluminium	aluminum
intuition	intuition
apaiser	soothe
jamais	never
affriquée	affricate
recollement	reattachment
barbarisation	barbarization
paléopathologie	paleopathology
éventer	air
loufoque	zany
adroit	dexterous
bouffonnerie	antic
propice	auspicious
folie	insanity
payer	pay
fonction	subroutine
uro	watersport
coque	hull
stagner	stagnate
traîne	train
inabordable	unaffordable
commerce	commerce
miellat	honeydew
saisir	fathom
surhomme	superman
pasteurellose	pasteurellosis
daté	dated
joie	glee
fâcher	anger
mec	geezer
rhopalocère	butterfly
éditeur	editor
habitation	habitation
fougasse	fougasse
unité	oneness
concordat	concordat
syndical	syndical
mauvais	malicious
oxyrhynque	sharpbill
bellâtre	beefcake
plaidant	litigating
oisillon	chick
quintuplé	quintuplet
ptérygoïde	pterygoid
retraité	retiree
papaye	papaya
évacuation	evacuation
enregistrer	record
calme	calm
planification	scheduling
exagérément	exaggerated
sympathique	sympathetic
embouchure	embouchure
starter	starter
lobbyiste	lobbyist
mainmise	seizure
intérêt	interest
bienfaisant	beneficial
machin	contraption
critique	critique
pendu	hangman
absorber	assimilate
anulingus	anilingus
aile	ell
jarretière	garter
diastole	diastole
cadence	cadence
aristoloche	birthwort
étirer	stretch
épée	epee
fragilité	brittleness
passeur	passer
glose	gloss
désappointement	disappointment
jars	gander
rentrer	input
protoplasme	protoplasm
inédit	unpublished
espiègle	impish
globine	globin
nanomètre	nanometre
ferroélectricité	ferroelectricity
défenseur	defender
dénuder	denude
échelon	echelon
licenciement	layoff
invertébré	invertebrate
ichtyosaure	ichthyosaur
spondylolisthésis	spondylolisthesis
endogène	endogenous
faculté	faculty
reboot	reboot
cerf	deer
orientalisme	orientalism
ruse	wile
espadrille	espadrille
suona	suona
axial	axial
comporter	comprise
justice	justice
folie	madness
modal	modal
amidonnier	emmer
garnement	brat
corruptible	corruptible
bourse	purse
homéopathie	homeopathy
audiologie	audiology
alimentation	food
fraterniser	fraternize
scrupuleux	scrupulous
réparer	mend
phonologique	phonological
sifflet	whistle
économe	economical
scottish	schottische
oncologie	oncology
mandarinat	mandarinate
débarrasser	dispose
réfection	refection
contraception	contraception
alexandrin	alexandrine
soyer	joggle
dividende	dividend
parousie	parousia
vivisection	vivisection
respirateur	respirator
sauver	salvage
idiophone	idiophone
souverainement	sovereignly
noyer	walnut
lobotomie	lobotomy
devoir	obligation
dépressif	melancholic
misanthropique	misanthropic
sacerdotal	priestly
antiquité	antiquity
de	thereof
franc	outspoken
formulation	wording
trentaine	thirties
mémorandum	memorandum
lion	lion
mélodie	melody
cochon	swine
bousculade	stampede
multimillionnaire	multimillionaire
vinyle	vinyl
kyrielle	series
vérité	truth
rationalité	rationality
touraille	kiln
baver	slaver
diplomatique	diplomatic
bosse	humpback
intrant	input
commencer	initiate
clairement	brightly
butiner	forage
frustrer	frustrate
incomplet	incomplete
mauve	mauve
traqueur	stalker
minibus	minibus
risible	laughable
manchette	wristband
alcidé	alcid
al	ly
percepteur	collector
desman	desman
répartition	dispatching
chouïa	smidgen
hallux	hallux
saccager	sack
forficule	earwig
thyratron	thyratron
rémiz	remiz
accordéon	concertina
groupe	bunch
instinct	instinct
flatter	flatter
asocial	asocial
bedeau	beadle
khamsa	hamsa
télémarketing	telemarketing
rassurant	comforting
photique	photic
jacquerie	jacquerie
linguistique	linguistics
millénarisme	chiliasm
cosmos	cosmos
empennage	fletching
bilame	bimetal
tardif	late
strasser	strasser
dyscalculie	dyscalculia
sempervirent	evergreen
délabré	ramshackle
optimisation	optimization
thymine	thymine
formaliser	formalise
besoin	need
paléoclimatologie	paleoclimatology
identifiant	identifier
agglomération	agglomeration
déchargement	unloading
union	confederation
démographe	demographer
habile	skillful
anneau	ring
joueur	player
malade	sufferer
germain	german
intervalle	interim
azothydrique	hydrazoic
fantaisie	fantasia
blague	quip
conditionnement	package
récupérer	recover
préscolaire	preschool
irresponsabilité	irresponsibility
nono	ninth
transformable	transformable
mépris	contempt
palissandre	rosewood
mythologie	mythology
ordonnance	writ
psychopompe	psychopomp
distributif	distributive
prescriptif	prescriptive
méticuleusement	meticulously
lutécium	lutetium
copier	copy
négligent	careless
pâture	meadow
psychotechnique	psychotechnic
délabrer	deteriorate
xiphos	xiphos
œsophage	throat
monoplan	monoplane
crinière	mane
obstination	obstinacy
enjambement	enjambment
slip	briefs
sectionneur	breaker
insurmontable	insurmountable
flibustier	filibuster
scille	squill
commensurable	commensurable
bendir	bendir
inoxydable	stainless
passage	passage
citronnade	lemonade
jersey	jersey
chorégraphe	choreographer
entomophagie	entomophagy
principalement	primarily
essence	quiddity
politique	government
caramel	toffee
microgramme	microgram
houmous	hummus
calepin	notebook
capabilité	capability
gourmandise	delicacy
réception	receipt
immerger	immersion
loi	law
prêtre	priest
tonneau	cask
enfer	inferno
cercle	hoop
illustre	illustrious
cobra	cobra
utopie	utopia
pervaporation	pervaporation
stabiliser	stabilize
contrefort	foothill
badminton	badminton
délibérer	deliberate
tracas	fuss
ouvrier	laborer
ricanement	titter
voltmètre	voltmeter
racine	root
sauf	save
endogamie	endogamy
hasard	chance
haruspice	haruspex
curcuma	turmeric
orgueilleux	vainglorious
statuer	rule
édulcorant	sweetener
misandrie	misandry
écrouelles	scrofula
licencier	dismiss
caviar	caviar
inimitié	enmity
homologie	homology
dégoût	loathing
galène	galena
galle	gall
pastille	land
amorcer	boot
résumer	epitomize
cédant	assignor
enfance	childhood
zarzuela	zarzuela
quintessence	quintessence
référencer	reference
redresseur	rectifier
dispute	strife
habile	smart
babiole	bauble
dignité	dignity
réécrire	rewrite
créosote	creosote
souffleuse	snowblower
passer	sieve
râtelier	hayrack
excès	excrescence
brillant	varnish
beaucoup	vastly
sûr	certain
qualification	qualification
sinusite	sinusitis
exploration	exploration
neutraliste	neutral
gaspiller	waste
salsifis	salsify
hyperbolique	hyperbolic
parascolaire	extracurricular
anthropologie	anthropology
coryphène	dolphinfish
comparaison	comparison
cortical	cortical
oui	yes
galbanum	galbanum
dermatologie	dermatology
œcuménisme	ecumenism
ragondin	coypu
retentissant	plangent
échographie	echography
soudure	soldering
embêter	bother
géante	giantess
sédentarité	sedentism
genièvre	jenever
attrapeur	catcher
handicap	impairment
étranger	alien
fil	yarn
indigeste	indigestible
aligner	align
lumen	candela
goutte	drop
cancan	gossip
mûre	mulberry
un	one
flashforward	flashforward
planifier	plan
clavicule	clavicle
déontologique	deontological
stalag	stalag
militariste	militarist
pyridine	pyridine
calfater	caulk
régionalisation	regionalization
gavial	gavial
expliquer	construe
feuillet	folio
numéraire	numeraire
switcher	switch
diluer	dilute
tromperie	trickery
plathelminthe	flatworm
attelle	hame
vocalisation	vocalization
plateau	tray
alouette	lark
gouvernement	people
chanoine	canon
mélange	mix
leurre	lure
spire	coil
banaliser	trivialise
ordinateur	computer
maternité	pregnancy
aria	aria
apaiser	appease
tulipe	tulip
postérieurement	later
ajoncs	furze
bilatéralisme	bilateralism
chargé	loaded
multiplicateur	multiplier
traquer	stalk
vulgaire	commonly
croyable	believable
amalgame	amalgam
vigoureusement	sprightly
clé	key
gentil	avuncular
combattant	combatant
autostoppeur	hitchhiker
mésocyclone	mesocyclone
galilée	galilee
pauvreté	poverty
brouiller	upset
somnambule	somnambulist
estimatif	estimative
aimable	amiable
iceberg	iceberg
judas	judas
dispersant	dispersant
pédiatrie	pediatrics
magie	magic
rigidité	rigidity
inviter	bid
virevolter	flit
engeance	brood
adducteur	adductor
abrégé	synopsis
conclave	conclave
saïmiri	saimiri
maladie	ailment
fluorite	fluorite
présentateur	announcer
fluvial	fluvial
muezzin	muezzin
sépulture	burial
constructif	constructive
ragoût	ragout
euthanasier	euthanize
inflexible	adamant
cailler	coagulate
analytique	analytics
bréviaire	breviary
additionneur	adder
fou	mad
gourmand	gluttonous
puissance	power
corporation	corporation
grimace	grimace
souhaitable	desirable
vitalisme	vitalism
frit	fried
zébu	zebu
cohésion	cohesion
magistrature	judiciary
cornette	cornetfish
octogonal	octagonal
benzidine	benzidine
guerrier	warrior
cardiologie	cardiology
constant	constant
esprit	angel
abondance	abundance
promenade	walk
entasser	stack
adénine	adenine
isomère	isomer
cardan	gimbal
free	migration
cofondateur	cofounder
magnat	tycoon
discussion	talk
lignine	lignin
intolérant	intolerant
ostensiblement	conspicuously
teck	teak
tempura	tempura
sorcier	warlock
abstraire	abstract
robotique	robotic
klaxon	klaxon
lycanthrope	lycanthrope
pose	installation
citoyenneté	citizenship
hein	huh
délinquant	delinquent
bravache	braggart
radicaliser	radicalize
hagiographie	hagiography
engrenage	sprocket
écoféminisme	ecofeminism
répartiteur	assessor
entrée	entrance
paturon	pastern
vandaliser	vandalise
provision	proviso
plaqueminier	kaki
précurseur	precursor
délibérément	deliberately
mélanger	mix
amure	tacking
fiabilité	trustworthiness
vanité	pride
balanin	weevil
trancheuse	ditcher
séquencer	sequence
diacre	deacon
menuet	minuet
chercheur	searcher
gouvernemental	governmental
glycosaminoglycane	glycosaminoglycan
tardif	tardy
épiderme	dermis
brièvement	briefly
biographique	biographical
hypocrite	hypocritical
empire	power
abîmer	spoil
otage	hostage
plan	plan
kneeboard	kneeboarding
agacer	annoy
obus	shell
artisan	artisan
pourriel	spam
stalagmite	stalagmite
couverts	cutlery
luzerne	alfalfa
prolepse	prolepsis
banquet	banquet
attentat	attack
pétard	joint
pouvoir	power
hyphe	hypha
enlèvement	kidnapping
étoffe	material
oubli	oblivion
piquer	puncture
beaupré	bowsprit
soyeux	silky
androïde	android
œsophage	oesophagus
assistant	helper
demandeur	plaintiff
synaptique	synaptic
chabraque	saddlecloth
gesticulation	gesticulation
sic	sic
spicule	spicule
ides	ides
occulte	occult
clinique	clinical
prédécesseur	predecessor
ancienneté	seniority
arsenal	arsenal
angoissant	creepy
hypnotisme	hypnotism
prosciutto	prosciutto
mirin	mirin
agate	agate
kicker	kick
prémédité	premeditated
développer	develop
pyroclastique	pyroclastic
étrave	bow
débridé	unbridled
bergerie	sheepfold
défilement	defilement
tordre	tweak
déclamatoire	declamatory
potable	potable
élastine	elastin
schisme	schism
archéologue	archaeologist
parapluie	umbrella
raccourcissement	abridgment
ovariectomie	ovariectomy
ponctuel	punctual
méat	meatus
entremetteur	pander
étendu	extensive
abandonner	relinquish
rebord	rim
entier	integrity
coûteusement	expensively
cramponner	shoe
nature	kind
réserve	reservation
urologue	urologist
libéral	liberal
levier	lever
surfeur	surfer
ponctualité	timeliness
soupir	sigh
coudre	needle
lunette	furcula
lacté	milky
obélisque	obelisk
bourse	stipend
camion	truck
messianique	messianic
catatonique	catatonic
châtier	chastise
coalescence	coalescence
électriquement	electrically
vice	vice
observation	observation
pesanteur	gravity
gloriole	vainglory
quartet	nibble
dadaïsme	dadaism
sergent	sergeant
docile	compliant
extracteur	extractor
dot	dowry
esclave	thrall
crèvecœur	crèvecœur
fécule	starch
arête	arête
moqueur	mockingbird
chapka	ushanka
minoterie	gristmill
bois	branches
précis	precise
haïku	haiku
saturer	pervade
tomber	droop
fraude	deceit
goutte	gout
velcro	velcro
dissémination	dissemination
clandestin	undercover
repenser	think
blanchet	whitish
mièvre	vapid
proprement	properly
tranquillité	tranquillity
incunable	incunable
ingénu	naive
dénaturation	denaturation
dazibao	dazibao
encas	snack
contamination	contamination
frigide	frigid
couvent	convent
pirater	hack
temporaire	temporary
tangage	pitching
névé	firn
massue	club
buteur	scorer
inertie	inertia
autonome	autonomous
démission	resignation
élaguer	prune
anthracène	anthracene
rectifier	rectify
obscène	obscene
relativement	comparatively
gymnosperme	gymnosperm
ressentiment	ressentiment
commanditaire	sponsor
columbarium	columbarium
expurger	expurgate
coenzyme	coenzyme
turbo	turbo
enchérisseur	bidder
crumble	crumble
zoospore	zoospore
haplologie	haplology
écotype	ecotype
financer	bankroll
palet	puck
lamaïsme	lamaism
trouver	find
coriandre	coriander
opaline	opaline
verlan	verlan
saumure	brine
détecté	detected
gardien	keeper
moudre	grind
articulatoire	articulatory
chiffonnier	ragpicker
bagatelle	trifle
inquiet	restless
syénite	syenite
cycloalcane	cycloalkane
affabulation	tale
maintenant	now
coprah	copra
babésiose	babesiosis
homonymie	homonymy
belliciste	warmonger
inversible	invertible
polytrope	polytropic
acquittement	acquittal
urgences	casualty
paria	outcast
comptoir	desk
cétirizine	cetirizine
injurieux	offensive
psychanalyse	psychoanalysis
émasculer	emasculate
foulard	handkerchief
bulbeux	bulb
éternité	time
pluvieux	rainy
comptant	cash
luxon	luxon
démonétisation	demonetization
stéréolithographie	stereolithography
voyance	clairvoyance
acide	acid
arsénique	arsenic
âcre	acrid
reset	reset
érogène	erogenous
dromadaire	dromedary
maman	mammy
pervenche	periwinkle
mélisme	melisma
fureur	wrath
parcimonieusement	sparingly
illisible	illegible
township	township
inéluctablement	ineluctably
tenable	tenable
énigmatique	enigmatic
abiogenèse	abiogenesis
communiquer	share
neurulation	neurulation
contrevenir	contravene
basson	bassoonist
essai	essay
lâcheté	cowardice
chevalier	sandpiper
hérens	herens
pyréthrine	pyrethrin
comportemental	behavioral
réutilisabilité	reusability
zapper	surf
hôtesse	hostess
répresseur	repressor
dent	joint
plasticine	plasticine
malfaisant	maleficent
geôle	jail
économiquement	economically
amoindrir	diminish
physique	physics
cimier	crest
souimanga	sunbird
sandre	zander
évolution	growth
distant	aloof
rappeler	remind
fourgonnette	minivan
intersexué	intersex
extrêmement	drastically
aliéné	lunatic
batteur	batter
réactif	reagent
ganglion	ganglion
faverolles	faverolles
surenchérir	outbid
vigie	lookout
clitoridectomie	clitoridectomy
pilier	pillar
narrateur	narrator
châtiment	comeuppance
brin	sprig
électromagnétisme	electromagnetism
distiller	distil
guérison	healing
éventuellement	potentially
déflagration	deflagration
cataracte	waterfall
excès	excess
diligemment	diligently
là	thither
méticuleusement	painstakingly
constamment	constantly
textile	textile
fontanelle	fontanelle
gallate	gallate
endorphine	endorphin
réconfort	comfort
polyglotte	polyglot
décoloration	discoloration
manivelle	crank
anisotrope	anisotropic
tequila	tequila
dioxyde	dioxide
bailli	bailiff
rédaction	editing
maquis	chaparral
criard	vociferously
cognat	cognate
cinglé	nuts
glissement	sliding
dévotionnel	devotional
bourbier	quagmire
ravine	gully
litanie	screed
buisson	shrub
mordu	enthusiast
ptérosaure	pterosaur
ménisque	meniscus
xénophobe	xenophobic
étonnamment	amazingly
céphalothorax	cephalothorax
spécisme	speciesism
oiseau	bird
contention	restraint
nuit	night
changelin	changeling
maudit	cursed
légitimation	legitimation
saki	saki
cheval	riding
direction	direction
lettre	symbol
stromatolite	stromatolite
camarade	classmate
hors	outwith
aspectuel	aspectual
disséminer	sow
hétérosis	heterosis
bactérie	bacteria
oie	goose
actionnarial	stockholder
pédicure	pedicure
imbécile	blockhead
duvet	peachfuzz
énormité	whopper
parotide	parotid
engloutir	engulf
holographie	holography
sérotype	serotype
dépendance	drug
régulateur	regulator
carcajou	wolverine
apaisant	soothing
âne	donkey
scintillement	sparkle
vieillir	age
dégingandé	gangly
persuasion	persuasion
percheron	percheron
glacer	freeze
glaréole	pratincole
été	summer
ogive	arch
familiarité	familiarity
épaulard	orca
affiche	post
soldat	soldier
bourde	fib
biogénétique	biogenetic
appliquer	apply
philhellène	philhellene
ectoderme	ectoderm
orichalque	orichalcum
fantôme	wraith
timidement	timidly
porno	porn
cheik	sheik
pouce	pax
splendide	magnificent
scalper	scalp
rédemption	redemption
opposition	conflict
bégaiement	stammering
philologie	philology
inamical	unfriendly
zentai	zentai
dette	pay
extrêmement	extremely
cueilleur	picker
endetté	indebted
récursif	recursive
facilement	readily
métope	metope
malin	malignant
rétrograder	demote
double	duplicate
bail	lease
grève	walkout
célérité	speed
contribuable	taxpayer
spectroscopie	spectroscopy
toril	bullpen
déduire	deduce
partitif	partitive
gâcher	squander
chargement	filling
fusil	rifle
anatomiquement	anatomically
façon	style
matériel	hardware
baptême	baptism
cordier	ropemaker
capitulation	capitulation
choléra	cholera
patrimoine	heirloom
beveren	beveren
véranda	porch
épaulette	epaulette
louange	praise
sélection	selection
fonctionner	function
crépinette	bratwurst
tablier	gameboard
mouvoir	adjourn
infini	endless
légalité	legality
jeu	backlash
nasalisation	nasalization
qi	chi
bathymétrique	bathymetric
dissuasion	deterrence
domicile	domicile
colophon	colophon
magasin	store
apocalyptique	doomsayer
irrumation	irrumatio
stationnaire	stationary
curé	priest
moucheron	midge
baladeur	walkman
aiguillage	points
présentable	presentable
inutile	unprofitable
enfiler	thread
théorbe	theorbo
crépitement	crackling
gynécologue	gynecologist
noueux	knobbly
profane	mundane
référence	baseline
nantissement	pledge
briller	sheen
ballet	ballet
embrouille	tangle
faucon	falcon
arraché	snatch
mascotte	mascot
pétrir	knead
selle	harness
sorbet	sherbet
monnaie	currency
extrapolation	extrapolation
northbridge	northbridge
pétaoctet	petabyte
total	total
malade	schmaltzy
covariant	covariant
marsupial	marsupial
guenon	guenon
criminel	criminal
secret	secretion
droite	right
gâchis	waste
chaudement	warmly
excellent	excellent
biner	hoe
aviation	aviation
fonio	fonio
cosmopolite	cosmopolite
connard	douchebag
impasse	deadlock
faucher	reap
cercle	circle
accord	chord
hadji	hajji
poutrelle	beam
troupe	troupe
réduction	abatement
écume	scum
crawler	crawl
modernisation	modernization
foi	faith
indifféremment	indifferently
gyrus	gyrus
plastination	plastination
assister	attend
syndicalisme	unionism
cuirassé	battleship
canular	hoax
pathologique	pathologic
trou	opening
abjurer	abjure
dent	prong
armurier	gunsmith
sabermétrie	sabermetrics
porcherie	sty
imprévisibilité	unpredictability
environ	around
rassembler	collect
trompe	trump
grain	wheat
faiblement	faintly
charnière	hinge
froussard	cowardly
daman	dassie
peste	plague
adamantium	adamantium
light	light
gaieté	cheerfulness
kayak	kayak
apologue	apologue
matcha	matcha
immortel	immortal
pliable	collapsible
chevron	chevron
citron	brimstone
triplement	threefold
ruisselet	brooklet
métissage	miscegenation
foraminifère	foraminifer
adjacent	adjacent
surfactant	surfactant
lambris	wainscotting
bardane	burr
correctement	accurately
saison	autumn
arche	ark
corsage	corset
cosmétologie	cosmetology
cormoran	cormorant
époque	time
oxygéner	oxygenate
rémission	lysis
électron	electron
inconsistance	inconsistency
encadrer	frame
déblayer	clear
courbure	curvature
personnaliser	customize
journaliste	journalist
masculiniser	masculinize
fauteuil	armchair
chantage	blackmail
terre	earth
majestueux	majestic
sarcophage	sarcophagus
héritière	heiress
sucette	lollipop
manoir	manor
stoïque	stoic
prévu	foreseen
anoxique	anoxic
trotskysme	trotskyism
débarrasser	ditch
thanatologie	thanatology
curseur	cursor
rétablir	restore
récollet	recollet
circulatoire	circulatory
endogamique	endogamous
fatal	fated
délit	crime
toise	fathom
coeur	hearts
désintégrateur	disintegrator
photoélectrique	photoelectric
poterie	earthenware
bougainvillée	bougainvillea
induire	induce
décence	decent
égout	runoff
douche	shower
tuberculine	tuberculin
joint	gasket
peigne	comb
dorure	gilding
cultivateur	farmer
spéciation	speciation
realpolitik	realpolitik
plénier	plenary
tranquilliser	reassure
kolkhoze	kolkhoz
désunion	nonunion
déchaîner	unleash
rockabilly	rockabilly
rigoureux	strict
lotte	burbot
estival	summery
économétrie	econometrics
volcanologie	volcanology
triton	triton
flagrant	flagrant
votant	voter
infusion	infusion
yoyo	yoyo
suspensoir	jockstrap
euarchontoglires	euarchontoglires
oligoside	oligosaccharide
moxibustion	moxibustion
plâtrier	plasterer
kendo	kendo
singulier	idiosyncratic
destitution	revocation
cacher	hide
démineur	minesweeper
shah	shah
protectionnisme	protectionism
birème	bireme
séparatiste	separatist
diable	devil
golfe	gulf
grave	severe
ressortissant	national
orchestre	orchestra
taie	pillowcase
romancier	novelist
thrombocytopénie	thrombocytopenia
culotte	breech
superorganisme	superorganism
térébinthe	terebinth
grain	seed
scandium	scandium
anime	anime
rivalité	rivalry
creuser	dig
anthropologue	anthropologist
ardes	ardes
sérif	serif
constituer	constitute
sentir	smell
viticulture	viticulture
excaver	excavate
réalisation	making
coulomb	coulomb
perpétuel	perpetual
parfumer	relish
typographiquement	typographically
tard	late
pendulaire	commuter
éplucher	pare
épisode	episode
persistant	evergreen
nationalisme	nationalism
défroquer	defrock
méprisant	contemptuous
arlequin	harlequin
palabre	palaver
destrier	destrier
diamantifère	diamondiferous
portlet	portlet
transportable	transportable
pectoral	pectoral
alginate	alginate
agnatique	agnatic
ring	ring
kitsch	kitsch
secourir	succor
semelle	sole
introduire	introduce
tache	stain
typologie	typology
phtisie	phthisis
rendement	efficiency
victorieux	victorious
quantité	quantity
épigraphie	epigraphy
axion	axion
exclave	exclave
écharde	sliver
merveilleux	wonderful
billet	note
simultanéité	simultaneity
réfléchi	reflexive
diachronique	diachronic
ochlocratie	ochlocracy
chevelure	hair
mucine	mucin
enflure	swelling
concert	concert
contrainte	constraint
inlassable	tireless
funeste	dire
prudent	cautious
fleuve	river
instructeur	instructor
anxiogène	worrisome
serveur	server
intuition	vision
cornouiller	cornel
pourrir	putrefy
idéaliste	abstractionist
rhodium	rhodium
peuple	history
transport	transport
microbe	microbe
ducat	ducat
unionisme	unionism
aune	ell
tranchée	foxhole
zodiacal	zodiacal
volonté	volition
spamdexing	spamdexing
insert	insert
toton	teetotum
héliotropisme	heliotropism
occupé	occupied
exobiologie	exobiology
vagabondage	vagrancy
dépenser	consume
cristallographe	crystallographer
prémunir	protect
pénologie	penology
dengue	dengue
laryngoscope	laryngoscope
libertarisme	libertarianism
indulgent	forgiving
sambodrome	sambadrome
accorder	bestow
empoisonnement	poisoning
logiciel	software
château	castle
huche	chest
vessie	bladder
tarmac	apron
démocratiser	democratize
conjecture	guess
rougir	blush
déflexion	deflection
éclaboussure	splatter
assiéger	besiege
critique	criticism
ponte	panjandrum
éhonté	unashamed
phatique	phatic
journal	journal
inébranlable	grim
tableau	whiteboard
spéléologie	speleology
flot	torrent
supérieur	secondary
hernie	hernia
calvados	calvados
imprégnation	impregnation
commensurable	commensurate
clap	clapperboard
décélération	decelerating
sachet	teabag
séparateur	spreader
pubien	pubic
racheter	ransom
avidité	greed
demandeur	seeker
ouverture	opening
intentionnellement	intentionally
matras	flask
ligner	line
gelée	frost
attentivement	attentively
chengyu	chengyu
télégonie	telegony
fantasme	phantasm
dégouté	gutted
fatidique	fateful
flic	copper
pyroxène	pyroxene
dosimètre	dosimeter
évaporer	evaporate
réprimander	berate
épiphénomène	epiphenomenon
piste	track
exsudat	exudation
autorité	power
adulte	grownup
souris	mouse
pucelage	virginity
stuc	stucco
opiacé	opiate
pharming	pharming
consigne	setpoint
nécrophilie	necrophilia
finance	finance
surplus	surplus
paratha	paratha
lanterne	lantern
magique	magic
radiologie	radiology
strangulation	strangulation
webmaster	webmaster
plasmon	plasmon
miette	breadcrumb
anxiogène	anxiogenic
bol	bolus
astronautique	astronautic
déplaisant	unamusing
monosaccharide	fructose
convertible	convertible
désavantage	disadvantage
radicalisme	radicalism
circonvolution	whorl
diplomatique	diplomacy
devoir	ought
isobare	isobaric
étiquetage	labeling
habilitation	habilitation
successif	successive
souffleur	prompter
décomposer	putrefy
injecter	inject
formidablement	fantastically
vacher	cowherd
palangre	longline
choucas	jackdaw
éprouver	experience
horst	horst
diction	diction
tablier	deck
panoptique	panopticon
amasser	accumulate
otolithe	otolith
réalisme	realism
entretemps	meanwhile
plâtre	gypsum
relief	texture
reparaître	reappear
tragédie	drama
observabilité	observability
intimider	browbeat
vingtième	twentieth
fertiliser	fertilize
diamant	excelsior
loquet	latch
caprice	caprice
disposition	disposition
carrosserie	body
miroir	mirror
doula	doula
zloty	zloty
tenter	attempt
sumac	sumac
espacer	space
charachka	sharashka
tempérer	temper
violet	purple
trempé	sodden
effecteur	effector
sobriété	sobriety
polygénique	polygenetic
cellulite	cellulite
politburo	politburo
smithsonite	smithsonite
locus	locus
consacrer	devote
sutra	sutra
toi	thee
concupiscence	concupiscence
quintile	quintile
valentine	valentine
copolymère	copolymer
glace	mirror
permis	permission
supposément	presumably
crabe	crab
